sample	fetch_over_scan.rDNA45S	fetch_over_scan.rDNA5S	fetch_over_scan.DJ	fetch_over_scan.TEL	capture.rDNA45S	capture.rDNA5S	capture.DJ	capture.TEL
HG00096	0.9996619434654392	0.9998588005750668	0.997867803837953	NA	0.999515	0.999798	0.997721	0.998309
HG00097	0.9996696846015044	0.9997819780645708	0.9977310231023102	NA	0.999482	0.999736	0.99762	0.998438
HG00099	0.9997595770023472	0.9999007299656525	0.9980820458177945	NA	0.999706	0.999901	0.997895	0.998994
HG00100	0.9997485277821532	0.9999778878471608	0.9980464733703475	NA	0.99967	0.999966	0.997818	0.998919
HG00101	0.999627935238716	0.9998893333997332	0.997310715763343	NA	0.999475	0.999877	0.997463	0.998687
HG00102	0.9997695089421579	0.9999564712710389	0.9979077309341982	NA	0.999688	0.999913	0.997888	0.998612
HG00103	0.9998181453500034	0.9999686456487998	0.997949979499795	NA	0.999645	0.999956	0.997864	0.998614
HG00105	0.9997723671003254	0.999975398947075	0.9975412355291466	NA	0.999667	0.999943	0.997325	0.998668
HG00106	0.9996945732859424	0.9999315843813361	0.997948086590746	NA	0.99961	0.999916	0.99779	0.998093
HG00107	0.9997604069395979	0.9999310151126177	0.997638846114362	NA	0.999571	0.999915	0.997788	0.998327
HG00108	0.9996015883091904	0.9999395430664965	0.9976762982420692	NA	0.999592	0.999925	0.997523	0.998235
HG00109	0.9996389719997926	1.0	0.9976931949250288	NA	0.999648	1.0	0.997502	0.998302
HG00110	0.9997857013955728	0.9999109752659614	0.9973920300438138	NA	0.999629	0.99991	0.997444	0.998653
HG00111	0.9995639754990784	0.9997946501910645	0.9972477064220182	NA	0.99923	0.999731	0.996884	0.997924
HG00112	0.9997441157013103	0.9999808914763246	0.9978145488604433	NA	0.999653	0.999926	0.997788	0.99847
HG00113	0.9998177054947699	0.9999455907334973	0.9978421701602961	NA	0.999713	0.999832	0.99796	0.998695
HG00114	0.9998691984856921	0.999950120617416	0.9982217573221756	NA	0.999721	0.999924	0.99812	0.998772
HG00115	0.9998331833969819	0.9999735865004377	0.9977380217972445	NA	0.999766	0.999964	0.99784	0.999029
HG00116	0.9996870084640338	0.9999105440335224	0.9980883602378928	NA	0.999643	0.999884	0.997707	0.998324
HG00117	0.9997208698343222	0.999937436393667	0.9979464010678714	NA	0.999619	0.999898	0.997809	0.998361
HG00118	0.9997029936427037	0.9998430646338305	0.9977525794258861	NA	0.999437	0.999851	0.997588	0.998611
HG00119	0.9995578315050443	0.9998484449130206	0.9977045075125208	NA	0.999341	0.999836	0.997595	0.99723
HG00120	0.999655129524305	0.9999862702113931	0.997930463576159	NA	0.999598	0.999944	0.997877	0.998499
HG00121	0.999653298906523	0.9998257906112027	0.9978819969742815	NA	0.999375	0.99983	0.997556	0.998928
HG00122	0.9993048409909802	0.9996042360390851	0.9980496817901868	NA	0.999273	0.999496	0.997609	0.998618
HG00123	0.999678572625825	0.9999118103569917	0.9977220956719818	NA	0.999561	0.999879	0.997657	0.998192
HG00125	0.9997532011265642	0.9998533105964758	0.9972245065789475	NA	0.999619	0.999816	0.997398	0.999083
HG00126	0.9995651139624436	0.9997510497402619	0.9978571428571428	NA	0.999487	0.999685	0.997743	0.999221
HG00127	0.9997163166743013	0.9999652270672509	0.9977585030698762	NA	0.999585	0.999964	0.997738	0.998509
HG00128	0.9994979618905557	0.9997828983075937	0.9980837115481596	NA	0.999367	0.999717	0.99765	0.998334
HG00129	0.9994897328055418	0.9999780152134723	0.9975358902935505	NA	0.999501	0.999899	0.997376	0.998187
HG00130	0.9997650361411514	1.0	0.9978370583994233	NA	0.999591	1.0	0.99754	0.997873
HG00131	0.9997411006255569	0.9999070679952501	0.9973995954926322	NA	0.999604	0.999904	0.997572	0.996648
HG00132	0.999766656360656	0.9999537661336929	0.9980343471963583	NA	0.999655	0.999935	0.998093	0.999321
HG00133	0.9996552354123325	0.999936956496042	0.9976138603589584	NA	0.999599	0.999926	0.997831	0.998794
HG00136	0.9997559876498266	0.9999406060344269	0.998019801980198	NA	0.999637	0.999923	0.997968	0.999071
HG00137	0.9996039203632381	0.999823723316117	0.9976944667201282	NA	0.999319	0.999813	0.997469	0.998346
HG00138	0.9996332573013105	0.9999620622937138	0.99748427672956	NA	0.999508	0.999964	0.997609	0.998232
HG00139	0.9997115242243065	0.9999127380614761	0.9979375064452924	NA	0.999657	0.999854	0.997908	0.998642
HG00140	0.9997935770859407	0.9999113744555861	0.9982798745320247	NA	0.999719	0.999897	0.99832	0.998523
HG00141	0.9997291848463876	0.9999059261802737	0.9973129392310872	NA	0.999635	0.999909	0.997146	0.998138
HG00142	0.9997427571856491	0.9999760294358527	0.9981746565472187	NA	0.999702	0.999966	0.99812	0.998818
HG00143	0.999732494630414	0.9999392710091944	0.9974559886028289	NA	0.999438	0.999882	0.99732	0.99849
HG00145	0.9995820935805656	0.9998910556705524	0.997929392276633	NA	0.999575	0.999854	0.997968	0.998684
HG00146	0.9997645229923501	0.9999735176504858	0.9980734033330123	NA	0.999653	0.999941	0.998023	0.999091
HG00148	0.9995212106451755	0.9999449797036241	0.9980556692591076	NA	0.999618	0.999894	0.998006	0.997623
HG00149	0.9998513916258164	0.9999730353560412	0.9980488806736496	NA	0.999756	0.99997	0.998013	0.99896
HG00150	0.9998016765792836	0.9999389215997655	0.997941115915174	NA	0.999683	0.999912	0.997744	0.99849
HG00151	0.9998231161141221	0.9998991361733707	0.9980115331079737	NA	0.999653	0.99988	0.998052	0.998987
HG00154	0.9997604840853519	0.9999280661791151	0.9978991596638654	NA	0.999597	0.999877	0.997848	0.998595
HG00155	0.9997428155034624	0.9999015510630024	0.9980462724935732	NA	0.999551	0.999907	0.997899	0.998658
HG00157	0.9998293770577442	0.9999731041809551	0.9981404958677688	NA	0.999707	0.999946	0.998175	0.998382
HG00158	0.9995203966522336	0.9998238247643656	0.9981460500566486	NA	0.999625	0.999812	0.997885	0.998038
HG00159	0.9997542369386829	0.9999298385548221	0.9977692151693368	NA	0.999588	0.999923	0.997635	0.998602
HG00160	0.9998839818225079	0.999940642955506	0.9982488669138855	NA	0.99973	0.999908	0.998117	0.998231
HG00171	0.99969104704435	1.0	0.9972575905974534	NA	0.999558	0.999986	0.997067	0.998259
HG00173	0.9996857472074354	0.999959466415899	0.9978181818181817	NA	0.999685	0.999963	0.997522	0.99862
HG00174	0.9996290644650421	0.9997762605682983	0.9973926995587645	NA	0.999282	0.999742	0.99727	0.998085
HG00176	0.9994007435990296	0.9998103695481245	0.997940903943169	NA	0.999352	0.999738	0.99782	0.99831
HG00177	0.9998475047972449	0.9999524239973359	0.9977887754027589	NA	0.999739	0.999952	0.997691	0.999245
HG00178	0.999718986063614	0.9999529276393212	0.9976220016542595	NA	0.999688	0.999922	0.997685	0.999154
HG00179	0.9995378396648533	0.999987727350826	0.9975572519083971	NA	0.999596	0.999987	0.997353	0.997917
HG00180	0.9996385111983908	0.9999444169102287	0.9976902887139107	NA	0.999629	0.999935	0.997556	0.998718
